,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,penalties_in,penalties_mi,red_cards,yellow_cards
Artem Rebrov,1,0,0,0,0,90,0,0,0,0,0,0
Arthur Boka,4,0,11,0,0,360,0,0,0,0,0,0
Arthur Masuaku,3,0,3,5,0,270,0,0,0,0,0,0
Arthuro,2,0,2,1,0,180,0,0,0,0,0,0
Artur,13,0,1,0,0,1170,0,0,0,0,0,0
Artur Boruc,11,0,0,1,0,990,0,0,0,0,0,0
Arturo Vidal,13,2,24,26,0,1170,4,0,0,0,0,0
Ashley Cole,32,6,28,51,0,2880,4,0,0,0,0,0
Ashley Young,3,0,2,11,0,270,7,0,0,0,0,0
Asier Del Horno,1,0,2,1,0,90,0,0,0,0,0,0
Asier Illarramendi,5,0,10,5,0,450,0,0,0,0,0,0
Ateş Necati,2,0,3,4,0,180,2,0,0,0,0,0
Athos Solomou,1,0,0,0,0,90,1,0,0,0,0,0
Atiba Hutchinson,3,1,0,6,0,270,4,0,0,0,0,0
Atsuto Uchida,15,2,18,17,0,1350,1,0,0,0,0,0
Augustin Binya,1,0,2,0,0,90,0,0,0,0,0,0
Aurélien Chedjou,11,1,8,11,0,990,0,0,0,0,0,0
Avihay Yadin,2,0,7,6,0,180,0,0,0,0,0,0
Avraam Papadopoulos,7,0,6,11,0,630,0,0,0,0,0,0
Axel Witsel,17,1,35,28,0,1530,3,0,0,0,0,0
Aydın Yılmaz,1,0,2,2,0,90,0,0,0,0,0,0
Ayhan Akman,1,0,3,0,0,90,1,0,0,0,0,0
Ayila Yussuf,8,0,11,12,0,720,0,0,0,0,0,0
Aymen Abdennour,3,0,1,0,0,270,0,0,0,0,0,0
Aymeric Laporte,3,0,2,3,0,270,0,0,0,0,0,0
Aílton,4,0,11,16,0,360,9,0,0,0,0,0
Babatounde Bello,3,0,3,3,0,270,0,0,0,0,0,0
Bacary Sagna,20,4,15,18,0,1800,1,0,0,0,0,0
Badr El Kaddouri,3,0,5,6,0,270,1,0,0,0,0,0
Bafétimbi Gomis,8,0,4,10,0,720,13,0,0,0,0,0
Bakari Koné,4,2,2,3,0,360,2,0,0,0,0,0
Bakary Koné,2,0,1,2,0,180,0,0,0,0,0,0
Baki Mercimek,1,0,5,0,0,90,0,0,0,0,0,0
Balázs Dzsudzsák,1,0,3,1,0,90,0,0,0,0,0,0
Balázs Megyeri,2,0,0,1,0,180,0,0,0,0,0,0
Barry Ferguson,3,0,3,4,0,270,0,0,0,0,0,0
Barry Robson,3,0,13,6,0,270,0,0,0,0,0,0
Bart Goor,3,0,5,2,0,270,0,0,0,0,0,0
Bastian Reinhardt,2,0,5,3,0,180,0,0,0,0,0,0
Bastian Schweinsteiger,32,8,44,70,0,2880,4,0,0,0,0,0
Beg Ferati,4,0,0,3,0,360,0,0,0,0,0,0
Behrang Safari,11,0,9,8,0,990,1,0,0,0,0,0
Bekir Ozan Has,1,0,1,2,0,90,0,0,0,0,0,0
Ben Amos,1,0,0,0,0,90,0,0,0,0,0,0
Ben Foster,1,0,0,0,0,90,0,0,0,0,0,0
Ben Sahar,2,0,2,1,0,180,1,0,0,0,0,0
Benedikt Höwedes,15,1,18,7,0,1350,1,0,0,0,0,0
Benjamin Huggel,8,0,15,7,0,720,1,0,0,0,0,0
Benjamin Mendy,1,0,0,3,0,90,0,0,0,0,0,0
Benjamin Nicaise,1,1,1,1,0,90,0,0,0,0,0,0
Benjamin Stambouli,2,0,0,1,0,180,0,0,0,0,0,0
Benny Feilhaber,1,0,2,5,0,90,0,0,0,0,0,0
Benoît Assou-Ekotto,5,0,8,7,0,450,0,0,0,0,0,0
Benoît Cheyrou,14,2,12,17,0,1260,0,0,0,0,0,0
Benoît Pedretti,6,0,13,12,0,540,0,0,0,0,0,0
Benoît Trémoulinas,5,1,1,12,0,450,1,0,0,0,0,0
Beram Kayal,5,0,10,3,0,450,0,0,0,0,0,0
Bernard,2,0,3,5,0,180,0,0,0,0,0,0
Bernardo Silva,1,0,1,2,0,90,0,0,0,0,0,0
Bernd Leno,12,0,0,3,0,1080,0,0,0,0,0,0
Besart Berisha,1,0,0,2,0,90,1,0,0,0,0,0
Beto,3,0,0,0,0,270,0,0,0,0,0,0
Betão,6,0,9,3,0,540,0,0,0,0,0,0
Bevan Fransman,1,0,1,1,0,90,0,0,0,0,0,0
Beñat Etxebarria,2,0,1,2,0,180,1,0,0,0,0,0
Bibras Natcho,5,0,1,3,0,450,0,0,0,0,0,0
Bjørn Tore Kvarme,2,0,2,1,0,180,0,0,0,0,0,0
Blaise Matuidi,14,2,26,24,0,1260,0,0,0,0,0,0
Blerim Dzemaili,3,0,6,9,0,270,1,0,0,0,0,0
Boban Grncarov,1,0,0,0,0,90,0,0,0,0,0,0
Bobo Baldé,1,0,1,1,0,90,0,0,0,0,0,0
Bobô,5,0,3,3,0,450,8,0,0,0,0,0
Bogdan Lobonţ,2,0,0,0,0,180,0,0,0,0,0,0
Bohdan Shust,3,0,0,0,0,270,0,0,0,0,0,0
Bojan Krkić,7,0,4,14,0,630,0,0,0,0,0,0
Borja Valero,1,0,0,1,0,90,0,0,0,0,0,0
Boubacar Sanogo,4,1,8,9,0,360,5,0,0,0,0,0
Boudewijn Zenden,6,0,8,7,0,540,0,0,0,0,0,0
Brahim Hemdani,2,0,2,1,0,180,0,0,0,0,0,0
Bram Nuytinck,7,0,4,1,0,630,0,0,0,0,0,0
Brandão,16,0,47,30,0,1440,20,0,0,0,0,0
Branislav Ivanović,27,0,27,26,0,2430,4,0,0,0,0,0
Branko Grahovac,3,0,0,1,0,270,0,0,0,0,0,0
Bratislav Punoševac,1,0,3,2,0,90,2,0,0,0,0,0
Brede Hangeland,3,1,7,2,0,270,0,0,0,0,0,0
Breel Embolo,3,1,4,3,0,270,3,0,0,0,0,0
Breno,3,0,6,3,0,270,0,0,0,0,0,0
Brett Holman,3,1,5,2,0,270,1,0,0,0,0,0
Bruma,2,0,1,2,0,180,0,0,0,0,0,0
Bruno Alves,19,0,17,11,0,1710,1,0,0,0,0,0
Bruno Cirillo,3,0,2,5,0,270,0,0,0,0,0,0
Bruno César,5,1,3,6,0,450,0,0,0,0,0,0
Bruno Fernandes,1,0,2,2,0,90,0,0,0,0,0,0
Bruno Martins Indi,3,0,2,1,0,270,0,0,0,0,0,0
Bruno Pereirinha,1,0,0,1,0,90,0,0,0,0,0,0
Bruno Saltor,1,0,2,2,0,90,0,0,0,0,0,0
Bruno Soriano,3,0,3,4,0,270,0,0,0,0,0,0
Bryan Cristante,1,0,2,0,0,90,0,0,0,0,0,0
Bryan Ruiz,2,0,5,3,0,180,1,0,0,0,0,0
Bryce Moon,1,0,0,0,0,90,1,0,0,0,0,0
Burak Yılmaz,12,0,21,23,0,1080,22,0,0,0,0,0
